Date,Open,High,Low,Close,Adj Close,Volume
2016-12-15,817.359985,823.0,812.0,815.650024,815.650024,1769700
2016-12-16,818.309998,819.200012,808.119995,809.840027,809.840027,2589100
2016-12-19,809.280029,816.219971,804.5,812.5,812.5,1263600
2016-12-20,813.369995,816.48999,811.0,815.200012,815.200012,1271900
2016-12-21,815.719971,815.719971,805.099976,812.200012,812.200012,1459600
2016-12-22,809.099976,811.070007,806.030029,809.679993,809.679993,1131600
2016-12-23,808.01001,810.969971,805.109985,807.799988,807.799988,764100
2016-12-27,808.679993,816.0,805.799988,809.929993,809.929993,976000
2016-12-28,813.330017,813.330017,802.440002,804.570007,804.570007,1214800
2016-12-29,802.330017,805.75,798.140015,802.880005,802.880005,1056500
2016-12-30,803.210022,803.289978,789.619995,792.450012,792.450012,1735900
2017-01-03,800.619995,811.440002,796.890015,808.01001,808.01001,1959000
2017-01-04,809.890015,813.429993,804.109985,807.77002,807.77002,1515300
2017-01-05,807.5,813.73999,805.919983,813.02002,813.02002,1340500
2017-01-06,814.98999,828.960022,811.5,825.210022,825.210022,2017100
2017-01-09,826.369995,830.429993,821.619995,827.179993,827.179993,1406800
2017-01-10,827.070007,829.409973,823.140015,826.01001,826.01001,1197400
2017-01-11,826.619995,829.900024,821.469971,829.859985,829.859985,1325400
2017-01-12,828.380005,830.380005,821.01001,829.530029,829.530029,1349500
2017-01-13,831.0,834.650024,829.52002,830.940002,830.940002,1290200
2017-01-17,830.0,830.179993,823.200012,827.460022,827.460022,1439700
2017-01-18,829.799988,829.809998,824.080017,829.02002,829.02002,1027700
2017-01-19,829.0,833.0,823.960022,824.369995,824.369995,1068500
2017-01-20,829.090027,829.23999,824.599976,828.169983,828.169983,1306200
2017-01-23,831.609985,845.539978,828.700012,844.429993,844.429993,2457400
2017-01-24,846.97998,851.52002,842.280029,849.530029,849.530029,1688400
2017-01-25,853.549988,858.789978,849.73999,858.450012,858.450012,1655400
2017-01-26,859.049988,861.0,850.52002,856.97998,856.97998,3493300
2017-01-27,859.0,867.0,841.900024,845.030029,845.030029,3749600
2017-01-30,837.059998,837.22998,821.030029,823.830017,823.830017,3516900
2017-01-31,819.5,823.070007,813.400024,820.190002,820.190002,2020200
2017-02-01,824.0,824.0,812.25,815.23999,815.23999,2251000
2017-02-02,815.0,824.559998,812.049988,818.26001,818.26001,1689200
2017-02-03,823.130005,826.130005,819.349976,820.130005,820.130005,1528100
2017-02-06,820.919983,822.390015,814.289978,821.619995,821.619995,1350900
2017-02-07,825.5,831.919983,823.289978,829.22998,829.22998,1666600
2017-02-08,830.530029,834.25,825.109985,829.880005,829.880005,1302200
2017-02-09,831.72998,831.97998,826.5,830.059998,830.059998,1192000
2017-02-10,832.950012,837.150024,830.51001,834.849976,834.849976,1415100
2017-02-13,837.700012,841.73999,836.25,838.960022,838.960022,1295700
2017-02-14,839.77002,842.0,835.830017,840.030029,840.030029,1296300
2017-02-15,838.809998,841.77002,836.219971,837.320007,837.320007,1357200
2017-02-16,838.5,842.690002,837.26001,842.169983,842.169983,1005100
2017-02-17,841.309998,846.940002,839.780029,846.549988,846.549988,1461200
2017-02-21,847.98999,852.200012,846.549988,849.27002,849.27002,1260300
2017-02-22,848.0,853.789978,846.710022,851.359985,851.359985,1224400
2017-02-23,851.080017,852.619995,842.5,851.0,851.0,1386700
2017-02-24,847.650024,848.359985,842.960022,847.809998,847.809998,1346200
2017-02-27,844.950012,850.669983,843.01001,849.669983,849.669983,1010300
2017-02-28,847.349976,848.830017,841.440002,844.929993,844.929993,1383100
2017-03-01,851.380005,858.0,849.02002,856.75,856.75,1818700
2017-03-02,856.309998,856.48999,848.719971,849.849976,849.849976,1250900
2017-03-03,848.940002,850.820007,844.710022,849.080017,849.080017,1005000
2017-03-06,846.859985,848.940002,841.169983,847.27002,847.27002,1047900
2017-03-07,847.26001,853.330017,845.52002,851.150024,851.150024,1038700
2017-03-08,853.119995,856.929993,851.25,853.640015,853.640015,1028800
2017-03-09,853.690002,860.710022,852.669983,857.840027,857.840027,1347700
2017-03-10,862.700012,864.22998,857.609985,861.409973,861.409973,1336600
2017-03-13,860.830017,867.130005,860.820007,864.580017,864.580017,1166600
2017-03-14,863.75,867.580017,860.130005,865.909973,865.909973,1061700
2017-03-15,867.940002,869.880005,861.299988,868.390015,868.390015,1332900
2017-03-16,870.530029,872.710022,867.52002,870.0,870.0,1104500
2017-03-17,873.679993,874.419983,868.369995,872.369995,872.369995,1868300
2017-03-20,869.47998,870.340027,864.669983,867.909973,867.909973,1542200
2017-03-21,870.059998,873.469971,847.690002,850.140015,850.140015,2538000
2017-03-22,849.47998,855.349976,847.0,849.799988,849.799988,1366700
2017-03-23,841.390015,841.690002,833.0,839.650024,839.650024,3287700
2017-03-24,842.0,844.0,829.099976,835.140015,835.140015,2105700
2017-03-27,828.090027,841.380005,824.299988,838.51001,838.51001,1934600
2017-03-28,839.690002,845.400024,832.27002,840.630005,840.630005,1519200
2017-03-29,842.75,851.590027,841.380005,849.869995,849.869995,1457300
2017-03-30,851.97998,852.0,846.77002,849.47998,849.47998,949400
2017-03-31,846.830017,849.559998,845.23999,847.799988,847.799988,1441000
2017-04-03,848.75,859.0,847.530029,856.75,856.75,1969400
2017-04-04,848.0,853.0,847.51001,852.570007,852.570007,1348500
2017-04-05,854.710022,860.590027,847.52002,848.909973,848.909973,1855200
2017-04-06,849.5,853.590027,844.0,845.099976,845.099976,1533600
2017-04-07,845.0,845.880005,837.299988,842.099976,842.099976,1111600
2017-04-10,841.539978,846.73999,840.789978,841.700012,841.700012,1046200
2017-04-11,841.700012,844.630005,834.599976,839.880005,839.880005,974300
2017-04-12,838.460022,843.719971,837.590027,841.460022,841.460022,1135800
2017-04-13,841.039978,843.72998,837.849976,840.179993,840.179993,1073700
2017-04-17,841.380005,855.640015,841.030029,855.130005,855.130005,1049100
2017-04-18,852.539978,857.390015,851.25,853.98999,853.98999,936200
2017-04-19,857.390015,860.200012,853.530029,856.51001,856.51001,1080300
2017-04-20,859.73999,863.929993,857.5,860.080017,860.080017,1188800
2017-04-21,860.619995,862.440002,857.72998,858.950012,858.950012,1172900
2017-04-24,868.440002,879.960022,866.109985,878.929993,878.929993,1696500
2017-04-25,882.26001,892.25,879.280029,888.840027,888.840027,2038000
2017-04-26,891.390015,892.98999,885.150024,889.140015,889.140015,1323300
2017-04-27,890.0,893.380005,887.179993,891.440002,891.440002,2342300
2017-04-28,929.0,935.900024,923.219971,924.52002,924.52002,3845900
2017-05-01,924.150024,935.820007,920.799988,932.820007,932.820007,2327800
2017-05-02,933.27002,942.98999,931.0,937.090027,937.090027,1751300
2017-05-03,936.049988,950.200012,935.210022,948.450012,948.450012,1824800
2017-05-04,950.289978,959.140015,947.369995,954.719971,954.719971,1937600
2017-05-05,956.719971,958.440002,948.099976,950.280029,950.280029,1615500
2017-05-08,947.450012,960.98999,947.400024,958.690002,958.690002,1876700
2017-05-09,961.330017,962.200012,954.400024,956.710022,956.710022,1687900
2017-05-10,956.219971,956.710022,949.840027,954.840027,954.840027,1146000
2017-05-11,951.289978,957.98999,948.609985,955.890015,955.890015,1031100
2017-05-12,957.849976,957.97998,952.059998,955.140015,955.140015,1214900
2017-05-15,955.289978,962.700012,952.820007,959.219971,959.219971,1337700
2017-05-16,963.549988,965.900024,960.349976,964.609985,964.609985,1101500
2017-05-17,959.700012,960.98999,940.059998,942.169983,942.169983,2449100
2017-05-18,943.200012,954.179993,941.27002,950.5,950.5,1800500
2017-05-19,952.820007,959.559998,952.0,954.650024,954.650024,1360300
2017-05-22,957.0,964.820007,956.559998,964.070007,964.070007,1387400
2017-05-23,969.960022,974.51001,964.5,970.549988,970.549988,1545400
2017-05-24,975.26001,978.119995,971.630005,977.609985,977.609985,1133000
2017-05-25,979.0,995.780029,977.820007,991.859985,991.859985,1954100
2017-05-26,992.0,996.390015,987.359985,993.27002,993.27002,1627600
2017-05-30,992.5,997.619995,991.359985,996.169983,996.169983,1516200
2017-05-31,996.210022,999.599976,981.679993,987.090027,987.090027,1724100
2017-06-01,990.960022,993.140015,981.289978,988.289978,988.289978,1306400
2017-06-02,988.590027,996.47998,987.070007,996.119995,996.119995,1735500
2017-06-05,997.890015,1007.400024,995.450012,1003.880005,1003.880005,1378900
2017-06-06,1003.309998,1008.609985,994.799988,996.679993,996.679993,1552100
2017-06-07,999.090027,1003.909973,995.869995,1001.5,1001.5,1374100
2017-06-08,1004.22998,1005.599976,996.619995,1004.280029,1004.280029,1687900
2017-06-09,1005.48999,1005.5,953.369995,970.119995,970.119995,3647900
2017-06-12,958.719971,968.0,936.799988,961.809998,961.809998,4202100
2017-06-13,972.039978,977.909973,962.01001,970.5,970.5,2005400
2017-06-14,975.5,979.700012,959.51001,967.929993,967.929993,1505500
2017-06-15,948.02002,960.679993,940.369995,960.179993,960.179993,2427600
2017-06-16,957.909973,959.950012,948.700012,958.619995,958.619995,2559200
2017-06-19,969.650024,979.299988,968.200012,975.219971,975.219971,1468800
2017-06-20,975.309998,980.789978,968.200012,968.98999,968.98999,1297300
2017-06-21,970.789978,979.549988,969.450012,978.590027,978.590027,1161600
2017-06-22,976.869995,980.5,973.309998,976.619995,976.619995,1009500
2017-06-23,975.5,986.619995,974.460022,986.090027,986.090027,1564000
2017-06-26,990.0,993.98999,970.330017,972.090027,972.090027,1517900
2017-06-27,961.599976,967.219971,947.090027,948.090027,948.090027,2443600
2017-06-28,950.659973,963.23999,936.159973,961.01001,961.01001,2745600
2017-06-29,951.349976,951.659973,929.599976,937.820007,937.820007,3206700
2017-06-30,943.98999,945.0,929.609985,929.679993,929.679993,2287700
2017-07-03,933.219971,934.23999,915.309998,919.460022,919.460022,1694800
2017-07-05,924.200012,936.289978,918.630005,932.26001,932.26001,2094100
2017-07-06,925.0,936.140015,919.849976,927.690002,927.690002,1947500
2017-07-07,930.98999,944.659973,929.789978,940.809998,940.809998,1663300
2017-07-10,941.950012,953.130005,941.950012,951.0,951.0,1451500
2017-07-11,950.52002,954.890015,945.119995,953.530029,953.530029,1461200
2017-07-12,960.859985,969.630005,957.039978,967.659973,967.659973,1602100
2017-07-13,970.799988,978.700012,964.799988,968.849976,968.849976,1524600
2017-07-14,974.0,977.539978,970.150024,976.909973,976.909973,1079600
2017-07-17,976.320007,983.349976,970.799988,975.960022,975.960022,1660500
2017-07-18,973.359985,990.849976,972.039978,986.950012,986.950012,1413300
2017-07-19,990.01001,995.599976,987.01001,992.77002,992.77002,1412100
2017-07-20,997.0,998.679993,984.619995,992.190002,992.190002,1418400
2017-07-21,989.0,995.109985,984.169983,993.840027,993.840027,1463300
2017-07-24,994.099976,1006.190002,990.27002,998.309998,998.309998,3984500
2017-07-25,970.700012,976.72998,963.799988,969.030029,969.030029,5933600
2017-07-26,972.780029,973.950012,960.22998,965.309998,965.309998,2221600
2017-07-27,969.179993,969.52002,937.059998,952.51001,952.51001,3717900
2017-07-28,947.98999,961.789978,945.309998,958.330017,958.330017,1813800
2017-07-31,960.0,961.190002,941.72998,945.5,945.5,2283500
2017-08-01,947.809998,954.48999,944.960022,946.559998,946.559998,1402600
2017-08-02,948.369995,949.099976,932.52002,947.640015,947.640015,2039400
2017-08-03,949.099976,950.0,939.440002,940.299988,940.299988,1123900
2017-08-04,943.950012,947.539978,939.799988,945.789978,945.789978,1254600
2017-08-07,947.52002,948.960022,943.5,945.75,945.75,1445800
2017-08-08,944.289978,952.48999,942.47998,944.190002,944.190002,1505100
2017-08-09,938.450012,943.76001,933.919983,940.080017,940.080017,1400900
2017-08-10,935.0,936.299988,921.780029,923.590027,923.590027,2707400
2017-08-11,923.710022,933.359985,921.219971,930.090027,930.090027,1616700
2017-08-14,939.070007,941.039978,934.48999,938.929993,938.929993,1150600
2017-08-15,941.030029,943.070007,936.640015,938.080017,938.080017,1106500
2017-08-16,941.25,949.900024,940.039978,944.27002,944.27002,1345300
2017-08-17,942.950012,943.809998,927.640015,927.659973,927.659973,1695700
2017-08-18,926.97998,931.02002,923.450012,926.179993,926.179993,1337400
2017-08-21,925.77002,928.25,918.599976,920.869995,920.869995,1301200
2017-08-22,926.960022,941.960022,926.169983,940.400024,940.400024,1775100
2017-08-23,937.0,945.429993,935.23999,942.580017,942.580017,1134500
2017-08-24,943.710022,946.309998,930.73999,936.890015,936.890015,1294600
2017-08-25,939.210022,940.72998,930.099976,930.5,930.5,1187300
2017-08-28,931.880005,934.849976,926.109985,928.130005,928.130005,1049400
2017-08-29,919.950012,938.190002,919.309998,935.75,935.75,1158600
2017-08-30,935.669983,945.859985,934.049988,943.630005,943.630005,1120300
2017-08-31,946.299988,957.200012,946.25,955.23999,955.23999,1693300
2017-09-01,957.469971,958.330017,950.280029,951.98999,951.98999,1042900
2017-09-05,946.859985,951.390015,935.599976,941.47998,941.47998,1457400
2017-09-06,943.869995,944.5,932.679993,942.02002,942.02002,1391500
2017-09-07,944.25,950.5,937.530029,949.890015,949.890015,1116600
2017-09-08,949.700012,950.700012,940.01001,941.409973,941.409973,999900
2017-09-11,947.200012,952.679993,941.0,943.289978,943.289978,1337400
2017-09-12,946.919983,948.090027,937.5,946.650024,946.650024,1284800
2017-09-13,945.5,952.849976,944.73999,950.440002,950.440002,1095400
2017-09-14,946.0,948.030029,938.359985,940.130005,940.130005,1427400
2017-09-15,940.090027,941.75,931.25,935.289978,935.289978,1994300
2017-09-18,935.01001,936.859985,925.400024,929.75,929.75,1473700
2017-09-19,933.409973,937.940002,926.659973,936.859985,936.859985,1242700
2017-09-20,937.72998,950.0,937.5,947.539978,947.539978,2004000
2017-09-21,948.130005,952.799988,939.380005,947.549988,947.549988,1370700
2017-09-22,942.77002,950.0,940.840027,943.26001,943.26001,1074800
2017-09-25,939.450012,939.75,924.51001,934.280029,934.280029,1873400
2017-09-26,936.690002,944.080017,935.119995,937.429993,937.429993,1625400
